,Energy,Ambient Temperature,Relative Humidity,Solar Zenith Angle,tcc
2024-01-01 07:00:00+00:00,0.0,263.5,73.92333333333333,2.797253736581745,0.19466797
2024-01-01 08:00:00+00:00,0.0,263.48333333333335,72.03416666666668,2.686876205803537,0.115255125
2024-01-01 09:00:00+00:00,0.0,263.2416666666667,69.43583333333333,2.5177974345165866,0.055648193
2024-01-01 10:00:00+00:00,0.0,263.3333333333333,66.75416666666666,2.328283766570869,0.050546873
2024-01-01 11:00:00+00:00,0.0,262.8,64.56916666666667,2.1333450335335358,0.089893796
2024-01-01 12:00:00+00:00,0.0,263.0833333333333,62.57083333333333,1.9400934521064634,0.1933191
2024-01-01 13:00:00+00:00,0.0,261.84999999999997,60.278333333333336,1.7535468438891364,0.37573853
2024-01-01 14:00:00+00:00,91.16666666666667,261.5,54.79916666666667,1.5755523490065813,0.42951417
2024-01-01 15:00:00+00:00,1331.8333333333335,264.80833333333334,47.04083333333333,1.419810802086954,0.40133667
2024-01-01 16:00:00+00:00,2184.25,269.78333333333336,41.405,1.2888383861352126,0.28253907
2024-01-01 17:00:00+00:00,1846.5833333333333,274.2083333333333,38.935,1.191754446493028,0.2547644
2024-01-01 18:00:00+00:00,1549.4166666666667,278.675,39.1675,1.138318282561135,0.18682373
2024-01-01 19:00:00+00:00,1552.8333333333333,281.7,43.08833333333333,1.1350021569823456,0.16222778
2024-01-01 20:00:00+00:00,1917.6666666666667,283.675,48.9325,1.1821551356070592,0.089157715
2024-01-01 21:00:00+00:00,1679.0,285.1333333333333,52.982499999999995,1.2740467207245607,0.14055543
2024-01-01 22:00:00+00:00,248.83333333333334,284.0,55.887499999999996,1.4012812231949472,0.4020996
2024-01-01 23:00:00+00:00,16.833333333333332,281.15833333333336,59.535833333333336,1.5540702547966176,0.5471069
2024-01-02 00:00:00+00:00,0.0,279.19166666666666,64.01333333333334,1.7299848989872126,0.57297
2024-01-02 01:00:00+00:00,0.0,277.375,69.0575,1.915309776728144,0.64639527
2024-01-02 02:00:00+00:00,0.0,276.5416666666667,74.15583333333333,2.1079359485065847,0.6284302
2024-01-02 03:00:00+00:00,0.0,274.71666666666664,78.71083333333333,2.3029037703647846,0.59885985
2024-01-02 04:00:00+00:00,0.0,272.94166666666666,82.6825,2.4935373579138655,0.63058716
2024-01-02 05:00:00+00:00,0.0,272.1583333333333,85.23333333333333,2.666426764734337,0.5131714
2024-01-02 06:00:00+00:00,0.0,272.3,85.98166666666667,2.7873635374871104,0.31424317
2024-01-02 07:00:00+00:00,0.0,269.4583333333333,85.65666666666668,2.7963083499035815,0.20678711
2024-01-02 08:00:00+00:00,0.0,267.95,84.89583333333333,2.686905294624404,0.16921386
2024-01-02 09:00:00+00:00,0.0,266.8,84.38833333333334,2.518291944471318,0.16270997
2024-01-02 10:00:00+00:00,0.0,266.3333333333333,83.31166666666667,2.328967353861233,0.031608887
2024-01-02 11:00:00+00:00,0.0,266.01666666666665,81.39166666666667,2.1340286208239,0.025178222
2024-01-02 12:00:00+00:00,0.0,264.575,78.8125,1.9406897729342283,0.026851807
2024-01-02 13:00:00+00:00,0.0,263.69166666666666,74.99249999999999,1.7539686317917014,0.060717773
2024-01-02 14:00:00+00:00,85.5,263.26666666666665,65.34416666666667,1.5757414263422138,0.026881104
2024-01-02 15:00:00+00:00,1387.5833333333335,266.5833333333333,53.98666666666667,1.419767168855654,0.0061767576
2024-01-02 16:00:00+00:00,2205.4166666666665,270.55833333333334,48.09833333333333,1.2884165982326474,0.004365234
2024-01-02 17:00:00+00:00,1875.6666666666667,274.0833333333333,42.9275,1.1909545039191973,0.001986084
2024-01-02 18:00:00+00:00,1555.0,277.68333333333334,37.017500000000005,1.1370820076743058,0.0008996582
2024-01-02 19:00:00+00:00,1595.3333333333333,279.675,32.3575,1.1333150053720846,0.0
2024-01-02 20:00:00+00:00,1916.4166666666667,280.97499999999997,32.8675,1.1801480069672659,0.0
2024-01-02 21:00:00+00:00,2249.5833333333335,281.925,38.78333333333333,1.2718359703387012,0.0
2024-01-02 22:00:00+00:00,1562.0833333333333,282.53333333333336,42.699999999999996,1.398925028704755,0.0
2024-01-02 23:00:00+00:00,181.66666666666666,280.19166666666666,44.79583333333333,1.5517722379481584,0.00013427735
2024-01-03 00:00:00+00:00,0.0,275.68333333333334,48.85666666666666,1.7275559824448539,0.0
2024-01-03 01:00:00+00:00,0.0,273.40833333333336,53.26166666666666,1.9128808601857852,0.0
2024-01-03 02:00:00+00:00,0.0,270.30833333333334,56.55083333333334,2.1055361207850924,0.0
2024-01-03 03:00:00+00:00,0.0,269.46666666666664,58.99666666666667,2.3004893982328594,0.0
2024-01-03 04:00:00+00:00,0.0,268.51666666666665,59.89000000000001,2.491093896961073,0.0
2024-01-03 05:00:00+00:00,0.0,267.2916666666667,58.380833333333335,2.664026937012845,0.0
2024-01-03 06:00:00+00:00,0.0,265.48333333333335,55.49583333333333,2.785298231205584,0.0
2024-01-03 07:00:00+00:00,0.0,264.40833333333336,53.107499999999995,2.7952466079419516,0.0
2024-01-03 08:00:00+00:00,0.0,263.59166666666664,52.54,2.686803483751371,0.0
2024-01-03 09:00:00+00:00,0.0,263.3666666666667,53.27583333333333,2.518684643553017,0.0
2024-01-03 10:00:00+00:00,0.0,263.34166666666664,54.19833333333333,2.329505497047265,0.0
2024-01-03 11:00:00+00:00,0.0,262.7583333333333,54.86416666666667,2.1345958528307984,0.00035522462
2024-01-03 12:00:00+00:00,0.0,262.675,55.6175,1.9411842828889598,0.0017138672
